Location,Size_sqft,Num_Bedrooms,Num_Bathrooms,Has_Balcony,Floor_Number,Building_Age_Years,Parking_Available,Nearby_Schools,Distance_to_CityCenter_km,Security_Level,Price_Category
Countryside,1268.0,2.0,2.0,No,0.0,20.0,No,,17.8,Low,High
City Center,1616.0,4.0,,Yes,18.0,17.0,,Few,16.7,Medium,Low
Countryside,1343.0,2.0,2.0,Yes,19.0,46.0,Yes,Few,19.4,Low,High
City Center,581.0,3.0,1.0,No,,5.0,No,Many,8.2,Low,High
Countryside,,3.0,3.0,,4.0,28.0,No,Few,3.0,Medium,Low
City Center,1358.0,,3.0,Yes,,,No,Many,4.0,Low,Low
Suburbs,497.0,3.0,,No,1.0,32.0,Yes,Few,7.1,,Low
City Center,,2.0,2.0,No,2.0,0.0,No,Many,15.3,,Low
Countryside,1484.0,4.0,2.0,No,7.0,44.0,Yes,Many,25.3,High,Low
City Center,1308.0,1.0,1.0,Yes,15.0,2.0,No,Many,21.2,High,Low
City Center,,,2.0,Yes,,,No,Many,23.8,Medium,Medium
City Center,1335.0,4.0,2.0,Yes,12.0,20.0,No,Few,10.9,Low,Medium
Suburbs,789.0,1.0,1.0,No,15.0,34.0,Yes,Few,12.4,Low,Medium
City Center,575.0,3.0,3.0,Yes,15.0,40.0,Yes,Few,12.1,High,Medium
Suburbs,1539.0,,3.0,No,2.0,39.0,Yes,Many,6.2,High,High
Suburbs,,4.0,1.0,Yes,,2.0,Yes,Few,2.3,Low,Low
City Center,425.0,1.0,3.0,Yes,13.0,,Yes,Few,17.9,Medium,High
City Center,516.0,1.0,2.0,No,7.0,44.0,Yes,Few,29.7,Low,Low
City Center,1508.0,3.0,1.0,Yes,,37.0,Yes,Few,5.4,High,Low
,1546.0,4.0,1.0,No,,44.0,Yes,Many,1.9,High,High
City Center,1218.0,3.0,1.0,Yes,8.0,19.0,Yes,,23.5,,Medium
Suburbs,1617.0,3.0,3.0,Yes,0.0,43.0,No,Few,8.0,Low,High
City Center,2498.0,4.0,1.0,No,5.0,44.0,No,Few,25.0,Medium,High
Countryside,1961.0,4.0,1.0,No,18.0,33.0,Yes,Few,,Medium,Low
City Center,607.0,4.0,1.0,No,10.0,20.0,Yes,,28.4,High,Low
Countryside,1659.0,,3.0,Yes,10.0,47.0,Yes,Many,12.6,Low,Low
Countryside,2269.0,4.0,2.0,,12.0,22.0,Yes,Many,20.0,High,Medium
,1191.0,1.0,1.0,Yes,10.0,5.0,No,Few,14.2,Low,High
Suburbs,674.0,3.0,,No,17.0,12.0,No,Many,19.1,High,High
Countryside,2333.0,2.0,3.0,No,14.0,,Yes,Many,13.8,High,Medium
City Center,1664.0,4.0,3.0,No,,22.0,No,Many,6.1,Low,High
City Center,,2.0,3.0,Yes,6.0,8.0,No,,15.5,Low,High
Suburbs,1314.0,4.0,3.0,Yes,12.0,16.0,Yes,Many,16.1,High,Low
Countryside,2099.0,2.0,2.0,No,11.0,1.0,Yes,Few,24.4,Low,Medium
Countryside,1681.0,3.0,1.0,Yes,17.0,18.0,Yes,Few,22.2,High,Low
City Center,816.0,3.0,,,18.0,18.0,Yes,Few,20.1,Low,Medium
City Center,,1.0,3.0,Yes,,6.0,No,Few,3.8,High,Low
Suburbs,385.0,1.0,2.0,Yes,7.0,41.0,Yes,Many,21.8,,High
Suburbs,1498.0,,2.0,No,18.0,41.0,No,Few,15.3,High,Medium
Countryside,1442.0,,3.0,Yes,9.0,19.0,Yes,Few,26.9,Medium,Medium
Countryside,2293.0,2.0,1.0,Yes,6.0,8.0,No,Few,27.6,Low,Low
City Center,2461.0,,,No,17.0,16.0,Yes,Many,,High,Medium
,602.0,2.0,,No,15.0,26.0,Yes,Few,24.7,Medium,High
Suburbs,887.0,1.0,2.0,Yes,19.0,46.0,No,Many,1.6,,High
Suburbs,1286.0,,3.0,No,5.0,1.0,No,Many,11.3,Medium,High
,2163.0,1.0,3.0,Yes,8.0,35.0,No,Many,16.5,High,Low
Suburbs,644.0,,2.0,,12.0,18.0,Yes,Few,4.9,High,Medium
,1113.0,4.0,3.0,Yes,7.0,16.0,No,Many,22.5,Medium,Low
Suburbs,,2.0,3.0,Yes,15.0,,No,Few,0.7,Medium,High
Suburbs,1610.0,2.0,3.0,No,12.0,38.0,No,Few,5.5,Low,Medium
City Center,2299.0,3.0,2.0,Yes,12.0,17.0,No,Few,17.6,Low,High
City Center,1977.0,4.0,1.0,,16.0,6.0,No,Many,21.6,Medium,Medium
,1627.0,,1.0,No,19.0,16.0,No,Many,,Low,Medium
Suburbs,1392.0,4.0,,No,4.0,38.0,No,Few,21.3,Medium,Low
Countryside,1309.0,2.0,1.0,Yes,16.0,,No,Many,20.3,Low,Medium
,1003.0,1.0,3.0,No,8.0,39.0,No,Many,,High,High
City Center,874.0,1.0,1.0,No,1.0,,Yes,,,Low,Medium
City Center,1908.0,1.0,,Yes,17.0,3.0,Yes,Few,4.0,High,High
City Center,1412.0,1.0,1.0,Yes,8.0,37.0,,Many,16.3,,Low
City Center,987.0,1.0,2.0,No,5.0,,,Many,20.4,Low,High
City Center,788.0,3.0,1.0,No,10.0,4.0,Yes,Few,12.8,Medium,Medium
City Center,1647.0,4.0,,No,5.0,,No,Many,22.1,High,High
Suburbs,,2.0,,Yes,5.0,11.0,No,Few,15.9,High,High
Countryside,1967.0,3.0,2.0,Yes,12.0,,,Many,2.7,Low,Medium
City Center,1937.0,4.0,1.0,Yes,10.0,23.0,No,Many,6.2,Medium,High
Suburbs,318.0,1.0,2.0,Yes,13.0,28.0,,Many,25.3,Medium,Medium
Suburbs,1300.0,4.0,3.0,Yes,1.0,8.0,No,Many,21.9,Low,Low
Countryside,1150.0,4.0,1.0,Yes,7.0,3.0,Yes,Many,26.9,Medium,High
City Center,1688.0,1.0,2.0,Yes,2.0,23.0,No,Many,4.0,Low,Low
Countryside,1654.0,1.0,2.0,No,2.0,13.0,Yes,Few,29.7,Low,High
City Center,1667.0,1.0,1.0,No,0.0,4.0,,Many,6.7,Low,High
Suburbs,1121.0,2.0,3.0,Yes,18.0,17.0,No,Many,0.8,High,Low
Suburbs,754.0,,2.0,Yes,17.0,41.0,Yes,Many,,High,High
Suburbs,1924.0,2.0,1.0,Yes,16.0,18.0,No,Few,8.8,High,High
Suburbs,1010.0,1.0,3.0,No,19.0,11.0,No,Few,20.2,Low,Low
Countryside,2490.0,2.0,2.0,Yes,12.0,17.0,Yes,Few,5.7,High,High
,1216.0,4.0,2.0,,2.0,16.0,No,Many,17.6,High,Medium
City Center,1796.0,3.0,3.0,No,0.0,29.0,Yes,Many,27.2,,High
Countryside,1740.0,4.0,3.0,No,3.0,23.0,No,Few,9.9,Low,High
City Center,,4.0,1.0,No,,10.0,No,Few,20.3,,High
Suburbs,1035.0,1.0,1.0,No,16.0,34.0,Yes,Few,6.0,Low,Low
,2263.0,2.0,2.0,Yes,10.0,22.0,No,Many,18.9,High,Medium
Suburbs,2449.0,3.0,,Yes,1.0,16.0,,Few,10.4,Medium,Medium
Countryside,2309.0,1.0,3.0,No,,0.0,Yes,Many,6.7,High,High
City Center,1261.0,1.0,3.0,Yes,1.0,14.0,Yes,Many,9.7,High,Low
Countryside,1326.0,1.0,2.0,,18.0,31.0,No,Many,5.8,Low,Low
City Center,2432.0,4.0,3.0,No,18.0,8.0,No,Few,27.1,Low,Medium
Suburbs,1773.0,2.0,3.0,Yes,15.0,14.0,Yes,Many,12.2,High,Low
Countryside,2247.0,2.0,2.0,Yes,18.0,27.0,No,Few,7.7,,High
City Center,1477.0,,1.0,Yes,8.0,23.0,No,Few,13.7,,High
Suburbs,964.0,2.0,,Yes,0.0,34.0,No,Few,,Medium,Low
Countryside,311.0,2.0,,,,21.0,,Few,22.5,Low,High
Countryside,1456.0,1.0,3.0,No,18.0,26.0,No,,29.2,Medium,Medium
City Center,603.0,1.0,2.0,Yes,0.0,18.0,Yes,Many,13.4,Medium,High
City Center,2063.0,4.0,1.0,Yes,1.0,44.0,No,Many,25.9,Low,Low
City Center,342.0,1.0,1.0,Yes,15.0,11.0,,Many,17.2,Medium,Medium
Suburbs,1243.0,1.0,,No,11.0,19.0,Yes,Few,5.1,High,High
City Center,,1.0,2.0,Yes,7.0,0.0,No,Few,20.9,,Medium
Countryside,1190.0,,1.0,No,17.0,20.0,Yes,Few,15.6,Low,Low
Countryside,1304.0,4.0,2.0,Yes,1.0,48.0,No,Few,,High,High
City Center,320.0,1.0,1.0,Yes,12.0,44.0,Yes,,26.7,,High
City Center,706.0,3.0,,No,5.0,0.0,No,Few,13.5,High,Medium
Countryside,1314.0,3.0,2.0,Yes,5.0,9.0,No,Many,27.1,,High
Suburbs,,3.0,2.0,Yes,8.0,46.0,,Few,22.6,Medium,High
City Center,2138.0,,,No,15.0,31.0,Yes,Few,14.9,Medium,High
City Center,1447.0,1.0,2.0,Yes,10.0,38.0,Yes,Few,18.3,Low,High
,2127.0,3.0,1.0,No,6.0,,Yes,Few,10.1,Low,Low
City Center,1014.0,1.0,1.0,No,9.0,,No,Many,29.5,High,High
Suburbs,350.0,4.0,2.0,No,,47.0,Yes,Many,,,Medium
Countryside,623.0,3.0,,,19.0,45.0,,Many,1.8,High,Low
City Center,1088.0,,1.0,No,,31.0,Yes,Many,10.1,High,Medium
Countryside,440.0,3.0,1.0,Yes,19.0,26.0,Yes,Few,18.9,Low,Medium
City Center,769.0,3.0,3.0,Yes,8.0,27.0,Yes,Few,2.2,Low,Medium
City Center,1086.0,1.0,1.0,Yes,14.0,17.0,Yes,Many,1.2,Low,Low
City Center,2125.0,3.0,3.0,No,3.0,38.0,,Many,13.8,Medium,Low
Suburbs,1657.0,,3.0,No,7.0,48.0,Yes,Few,10.3,High,Low
,2216.0,1.0,3.0,No,8.0,28.0,Yes,Few,,,High
Countryside,1263.0,1.0,2.0,No,12.0,17.0,Yes,Many,,High,Medium
City Center,672.0,4.0,2.0,Yes,8.0,,No,Many,5.4,Low,Low
City Center,1992.0,,1.0,Yes,,7.0,No,Many,20.8,Low,Medium
Suburbs,1479.0,3.0,3.0,No,,30.0,Yes,Few,15.7,Low,Low
City Center,1971.0,4.0,2.0,No,15.0,33.0,No,Many,6.4,Low,Low
Suburbs,405.0,4.0,2.0,Yes,,6.0,No,Many,9.9,Low,Low
City Center,1743.0,4.0,2.0,No,,35.0,Yes,Many,18.0,Medium,Medium
Countryside,1981.0,,2.0,No,19.0,17.0,Yes,Many,2.6,Low,High
City Center,301.0,1.0,2.0,No,4.0,37.0,Yes,Many,4.8,,Low
City Center,2437.0,1.0,,Yes,4.0,,No,,2.7,Low,Low
,,4.0,3.0,,19.0,8.0,Yes,Many,24.5,High,Low
City Center,1586.0,1.0,3.0,,,,No,Few,22.7,Low,High
City Center,1362.0,4.0,3.0,Yes,17.0,,Yes,Many,22.7,Low,Medium
Suburbs,744.0,1.0,1.0,No,14.0,34.0,No,Many,21.6,High,Medium
Countryside,,1.0,3.0,No,1.0,,No,Many,20.2,High,Medium
Countryside,335.0,2.0,2.0,Yes,12.0,4.0,Yes,Few,14.6,,Medium
Suburbs,1407.0,,3.0,No,3.0,,Yes,Few,19.4,High,Low
Suburbs,1775.0,4.0,1.0,No,9.0,27.0,No,Few,1.6,Medium,High
Suburbs,2098.0,2.0,,Yes,12.0,29.0,No,,18.8,High,Low
Suburbs,2145.0,1.0,3.0,No,9.0,3.0,Yes,Many,23.4,Low,High
Suburbs,1708.0,4.0,3.0,,8.0,38.0,Yes,Few,15.3,Low,Medium
Countryside,1495.0,1.0,3.0,No,7.0,19.0,No,Few,11.0,Medium,High
Countryside,1699.0,3.0,2.0,Yes,2.0,24.0,Yes,Many,8.7,High,Low
Suburbs,2008.0,2.0,2.0,No,15.0,27.0,No,Few,19.5,Low,Low
City Center,1685.0,3.0,1.0,Yes,,11.0,Yes,Many,20.9,Medium,Medium
Suburbs,2488.0,2.0,,No,8.0,1.0,Yes,Few,26.2,,Low
City Center,,1.0,2.0,No,10.0,,Yes,Few,10.6,Medium,Low
,1543.0,3.0,,No,2.0,,No,Few,23.2,Medium,High
Suburbs,820.0,3.0,2.0,No,4.0,21.0,Yes,Many,17.1,High,Low
Countryside,,1.0,3.0,Yes,9.0,30.0,No,Many,26.5,Medium,Medium
City Center,309.0,3.0,3.0,Yes,12.0,22.0,Yes,Few,16.1,,Medium
City Center,,4.0,2.0,No,3.0,47.0,No,Many,15.8,Low,Low
Countryside,1956.0,2.0,1.0,No,12.0,19.0,No,,17.5,High,Medium
Countryside,1960.0,,,No,11.0,37.0,Yes,Many,22.6,High,High
Countryside,2499.0,,2.0,No,4.0,3.0,,Many,29.0,Medium,High
Countryside,1019.0,4.0,1.0,No,9.0,,No,Few,2.7,High,Low
City Center,1372.0,2.0,3.0,No,8.0,23.0,No,Many,2.1,,Low
City Center,1158.0,1.0,3.0,No,19.0,24.0,,Many,28.2,Low,High
Suburbs,1616.0,3.0,2.0,No,,,Yes,Few,16.1,High,Medium
Suburbs,1903.0,4.0,1.0,Yes,1.0,6.0,Yes,Many,18.6,High,Low
Countryside,349.0,2.0,1.0,Yes,6.0,30.0,Yes,Many,14.7,High,Low
Countryside,445.0,1.0,3.0,Yes,7.0,11.0,No,Many,3.3,Medium,Medium
Countryside,1214.0,3.0,2.0,,6.0,41.0,No,Few,23.2,Medium,Low
Suburbs,,3.0,1.0,No,,4.0,Yes,Few,22.5,Low,Medium
Suburbs,,4.0,2.0,No,18.0,43.0,Yes,Many,9.7,Medium,Medium
Suburbs,1884.0,4.0,1.0,Yes,4.0,,No,Many,9.5,Medium,Medium
Suburbs,782.0,4.0,3.0,No,17.0,41.0,Yes,Few,,,Medium
Suburbs,1549.0,1.0,3.0,Yes,19.0,37.0,,Few,2.6,Medium,Medium
Suburbs,972.0,1.0,2.0,No,,11.0,No,Few,26.5,,High
Suburbs,930.0,4.0,3.0,Yes,16.0,38.0,,Many,8.1,High,Medium
Countryside,961.0,2.0,1.0,Yes,12.0,17.0,No,Many,18.0,Low,High
Countryside,1287.0,3.0,3.0,,1.0,1.0,Yes,Few,28.1,Medium,Medium
,1846.0,3.0,2.0,No,,9.0,No,Many,20.5,,Low
Countryside,949.0,1.0,2.0,Yes,6.0,14.0,No,Many,12.7,High,High
Suburbs,1268.0,3.0,2.0,No,9.0,29.0,No,Many,,High,Low
City Center,1400.0,2.0,1.0,No,,43.0,No,Many,10.6,,Medium
Suburbs,740.0,3.0,1.0,,2.0,16.0,,Many,8.7,High,Medium
City Center,1220.0,1.0,1.0,No,2.0,3.0,Yes,Many,29.9,Low,Low
Countryside,1069.0,1.0,1.0,,17.0,6.0,Yes,Many,22.6,Low,Medium
Suburbs,1643.0,2.0,,Yes,10.0,40.0,Yes,Few,19.5,Medium,Low
Countryside,2126.0,,3.0,No,19.0,30.0,No,Few,11.0,Medium,Medium
Suburbs,562.0,3.0,1.0,No,4.0,38.0,Yes,Few,2.0,High,Medium
Countryside,1877.0,3.0,1.0,No,18.0,33.0,No,Few,1.4,,High
City Center,1298.0,1.0,3.0,,18.0,,No,Few,16.8,Medium,Low
City Center,999.0,2.0,1.0,No,14.0,,Yes,Few,23.0,Low,Medium
City Center,1903.0,2.0,2.0,Yes,15.0,37.0,No,Few,16.4,Low,Low
Suburbs,1541.0,2.0,1.0,Yes,8.0,44.0,Yes,Few,25.3,Medium,High
City Center,1425.0,3.0,1.0,No,3.0,33.0,No,Few,1.5,,Low
,1490.0,2.0,2.0,Yes,14.0,,No,Many,11.3,Medium,High
City Center,1305.0,1.0,2.0,,11.0,14.0,Yes,Many,,Medium,Low
City Center,335.0,1.0,2.0,No,2.0,13.0,No,,13.7,High,Low
Suburbs,1043.0,3.0,2.0,Yes,,5.0,Yes,Many,2.6,High,High
Suburbs,,4.0,1.0,No,16.0,49.0,No,Many,28.6,Medium,Medium
City Center,652.0,3.0,,Yes,,36.0,Yes,Few,7.1,High,Medium
Suburbs,2222.0,4.0,,Yes,,49.0,No,Few,27.7,Medium,Medium
City Center,372.0,2.0,3.0,Yes,3.0,31.0,Yes,Few,13.1,Low,Low
Suburbs,1676.0,,2.0,No,6.0,2.0,Yes,Many,29.6,Low,Low
,2214.0,1.0,2.0,Yes,18.0,2.0,No,Many,16.8,,Medium
Countryside,1393.0,2.0,3.0,Yes,16.0,21.0,Yes,Few,28.0,,Low
Countryside,1007.0,,3.0,No,15.0,21.0,No,,0.7,Medium,Low
Countryside,,2.0,1.0,No,14.0,9.0,No,Many,22.6,Low,Medium
Countryside,1255.0,3.0,3.0,Yes,7.0,2.0,Yes,Many,27.1,Low,High
City Center,459.0,4.0,1.0,No,18.0,11.0,Yes,Few,4.6,Low,Low
Countryside,2496.0,2.0,3.0,Yes,7.0,28.0,Yes,Many,3.3,Low,Low
Countryside,2035.0,4.0,3.0,Yes,17.0,47.0,Yes,Many,13.0,Medium,Low
Countryside,1885.0,2.0,1.0,No,15.0,16.0,Yes,Many,28.0,Low,Low
Countryside,366.0,1.0,3.0,No,19.0,6.0,No,,16.5,High,High
Suburbs,357.0,1.0,1.0,No,18.0,12.0,Yes,,16.1,High,Medium
City Center,641.0,2.0,3.0,Yes,9.0,1.0,No,Many,4.7,High,Low
Countryside,1453.0,4.0,2.0,No,16.0,3.0,Yes,Many,0.5,High,Medium
Countryside,1495.0,3.0,3.0,Yes,12.0,9.0,Yes,Few,24.4,High,Low
Countryside,1532.0,3.0,1.0,No,12.0,38.0,Yes,Few,3.1,High,High
City Center,1794.0,1.0,3.0,Yes,6.0,23.0,,,19.2,Medium,Medium
Suburbs,2121.0,3.0,1.0,No,9.0,16.0,Yes,Few,,High,High
City Center,415.0,1.0,,Yes,1.0,5.0,No,Many,,Low,Low
Suburbs,961.0,3.0,2.0,No,3.0,18.0,No,Many,,High,High
Countryside,1765.0,2.0,2.0,Yes,5.0,4.0,No,Many,2.8,Medium,High
Countryside,2168.0,1.0,1.0,No,17.0,,Yes,Few,18.3,High,Low
City Center,1316.0,1.0,3.0,No,5.0,9.0,No,Many,5.3,Low,Low
City Center,610.0,2.0,1.0,Yes,,8.0,Yes,Many,22.2,Low,Medium
Suburbs,,1.0,,No,13.0,26.0,No,Few,9.4,Medium,Low
,932.0,,3.0,Yes,,12.0,Yes,Few,14.2,Medium,Medium
,2402.0,3.0,3.0,Yes,18.0,,No,Many,18.2,Medium,High
Suburbs,956.0,1.0,3.0,No,1.0,20.0,Yes,Few,,Medium,High
City Center,1723.0,3.0,3.0,Yes,,23.0,Yes,Few,22.4,High,Medium
Suburbs,2231.0,4.0,1.0,No,10.0,37.0,Yes,Many,9.4,,Low
City Center,1979.0,1.0,1.0,No,5.0,3.0,No,Many,20.0,Low,Low
City Center,536.0,2.0,2.0,Yes,13.0,23.0,No,Many,,Medium,High
City Center,647.0,4.0,1.0,No,18.0,34.0,Yes,,20.8,Medium,Medium
,929.0,1.0,3.0,Yes,15.0,2.0,No,Few,4.3,High,High
Suburbs,1840.0,,2.0,Yes,6.0,3.0,No,Few,13.0,Medium,High
Suburbs,,3.0,,No,7.0,36.0,No,Many,7.8,Low,Low
City Center,1571.0,2.0,1.0,No,18.0,39.0,,Few,22.6,,Medium
Suburbs,663.0,4.0,2.0,Yes,19.0,47.0,No,Few,8.2,Medium,High
Suburbs,585.0,3.0,3.0,Yes,15.0,34.0,No,Many,26.5,Low,Low
City Center,448.0,1.0,2.0,,6.0,,No,Many,26.8,Low,High
Countryside,1407.0,3.0,2.0,No,8.0,43.0,Yes,Many,6.3,High,High
City Center,755.0,,1.0,No,12.0,24.0,Yes,Few,18.6,Low,Low
Suburbs,2066.0,1.0,3.0,No,0.0,39.0,No,Many,3.1,Medium,Low
City Center,1099.0,2.0,2.0,Yes,7.0,12.0,Yes,Few,12.1,Medium,Medium
Countryside,1484.0,2.0,2.0,,3.0,3.0,Yes,Few,21.5,Low,High
City Center,1312.0,2.0,3.0,Yes,2.0,,Yes,Many,20.0,Medium,Medium
Suburbs,1823.0,4.0,2.0,Yes,2.0,13.0,No,Many,18.9,High,Low
,780.0,4.0,2.0,No,12.0,12.0,No,Many,8.8,Low,Low
Suburbs,,2.0,,Yes,7.0,26.0,No,Many,11.7,Low,High
Countryside,2461.0,4.0,3.0,No,6.0,5.0,No,Many,3.5,Low,Medium
Countryside,1901.0,3.0,3.0,,0.0,16.0,No,Few,21.7,,Medium
City Center,640.0,3.0,3.0,No,15.0,35.0,Yes,Few,15.4,Medium,High
City Center,2310.0,4.0,3.0,Yes,5.0,39.0,No,Few,21.4,Low,High
,2166.0,,1.0,Yes,6.0,48.0,Yes,Many,7.8,Medium,Medium
City Center,1134.0,3.0,2.0,No,11.0,34.0,No,Few,10.1,Medium,Low
City Center,1503.0,1.0,3.0,No,8.0,16.0,Yes,Many,10.4,Low,Low
Countryside,2025.0,3.0,2.0,Yes,10.0,,No,Many,1.3,Low,High
City Center,1989.0,3.0,2.0,Yes,9.0,1.0,No,Few,10.6,Medium,Medium
Countryside,610.0,4.0,1.0,No,0.0,12.0,No,Few,24.2,Low,Medium
Countryside,561.0,3.0,3.0,Yes,,1.0,No,Many,27.0,Low,Medium
Countryside,1742.0,4.0,3.0,No,3.0,27.0,No,Few,15.8,Low,Low
Suburbs,705.0,,2.0,Yes,4.0,42.0,No,,13.9,Low,Low
,2490.0,2.0,3.0,No,8.0,25.0,Yes,Few,1.4,Medium,Medium
Suburbs,641.0,3.0,2.0,Yes,16.0,21.0,No,Few,26.4,Low,Medium
Countryside,1639.0,1.0,2.0,No,2.0,46.0,Yes,Few,,High,High
Suburbs,543.0,2.0,1.0,No,,42.0,No,Few,28.4,Low,High
Suburbs,789.0,4.0,1.0,Yes,4.0,2.0,Yes,Few,,High,Medium
City Center,311.0,4.0,1.0,No,15.0,,Yes,,10.6,Low,Medium
Suburbs,860.0,1.0,2.0,Yes,2.0,11.0,Yes,Few,27.8,High,Low
Suburbs,,4.0,3.0,No,19.0,23.0,Yes,Few,1.2,High,Medium
,,3.0,1.0,No,14.0,4.0,Yes,Few,17.7,,High
Countryside,1752.0,2.0,,No,2.0,19.0,Yes,Many,16.7,Low,Low
Countryside,2126.0,4.0,1.0,Yes,,38.0,No,Many,7.0,,High
Countryside,1993.0,4.0,,No,13.0,,Yes,Many,13.2,High,High
Countryside,433.0,,2.0,Yes,15.0,12.0,,Many,,Medium,Low
Countryside,1247.0,3.0,1.0,No,,40.0,No,,22.0,,High
,372.0,4.0,1.0,Yes,19.0,44.0,Yes,,0.5,Low,Medium
Countryside,698.0,1.0,2.0,Yes,17.0,11.0,Yes,,28.1,Medium,High
,1728.0,4.0,3.0,Yes,17.0,12.0,No,Few,5.4,Medium,Low
City Center,429.0,1.0,1.0,No,,9.0,Yes,,7.4,Low,Low
Suburbs,2111.0,1.0,2.0,Yes,17.0,32.0,Yes,Many,8.3,High,Low
Suburbs,2301.0,3.0,1.0,No,14.0,39.0,Yes,Few,,Low,High
,565.0,4.0,2.0,Yes,14.0,15.0,,,4.1,Medium,Medium
Countryside,1860.0,3.0,3.0,Yes,5.0,44.0,Yes,Many,29.6,High,Low
Countryside,2285.0,1.0,3.0,Yes,14.0,34.0,Yes,Many,9.8,Medium,Medium
Countryside,1092.0,2.0,2.0,Yes,,2.0,Yes,,3.9,High,Low
,1612.0,4.0,2.0,No,3.0,4.0,No,Few,3.7,Medium,Medium
Countryside,463.0,2.0,2.0,Yes,7.0,25.0,Yes,Many,,Low,Medium
City Center,394.0,,3.0,Yes,14.0,10.0,No,Many,25.7,Medium,Medium
Suburbs,2105.0,3.0,1.0,No,2.0,6.0,No,Many,,,Low
Countryside,1433.0,3.0,3.0,Yes,14.0,9.0,No,Many,1.1,High,High
City Center,1121.0,3.0,2.0,,,41.0,No,Few,7.1,Medium,High
City Center,,3.0,2.0,Yes,,33.0,Yes,Many,2.2,Low,High
Countryside,2260.0,3.0,3.0,Yes,,2.0,,Few,3.6,Low,Medium
Suburbs,1348.0,2.0,,No,7.0,7.0,No,,13.2,Low,Low
Suburbs,1976.0,3.0,3.0,No,19.0,30.0,No,,7.3,High,Medium
Suburbs,1263.0,1.0,2.0,Yes,,10.0,No,Many,15.7,High,Low
City Center,836.0,1.0,1.0,No,12.0,44.0,No,Few,8.0,Medium,Medium
,1903.0,2.0,1.0,No,0.0,6.0,Yes,Few,,Medium,Low
,2279.0,4.0,2.0,Yes,1.0,44.0,Yes,Many,27.2,Medium,Low
City Center,427.0,1.0,3.0,No,14.0,1.0,No,Many,,High,Low
Suburbs,,4.0,1.0,,11.0,5.0,Yes,Many,11.0,High,Medium
Countryside,842.0,2.0,3.0,No,13.0,40.0,,Few,11.7,Medium,High
City Center,1145.0,,2.0,No,1.0,31.0,,Many,12.6,High,Medium
,1981.0,4.0,,No,17.0,,No,Few,,High,Medium
,,4.0,1.0,Yes,6.0,33.0,,Few,13.8,Low,Low
Countryside,689.0,4.0,3.0,No,5.0,49.0,Yes,Many,25.8,Low,Low
,2184.0,2.0,3.0,,13.0,15.0,,Few,28.4,Medium,High
Suburbs,342.0,1.0,2.0,Yes,7.0,24.0,Yes,Few,10.4,Medium,High
Suburbs,553.0,3.0,,No,1.0,11.0,Yes,Few,,Low,Low
Countryside,1383.0,4.0,2.0,Yes,16.0,6.0,Yes,Few,3.3,High,High
City Center,,,1.0,No,4.0,,No,Many,6.4,Medium,High
Countryside,2253.0,1.0,1.0,Yes,13.0,,Yes,Few,12.7,Medium,Low
Suburbs,941.0,2.0,,Yes,19.0,44.0,No,Many,6.6,Medium,Medium
City Center,989.0,1.0,,No,2.0,10.0,No,Few,26.4,High,High
City Center,,,1.0,No,,5.0,No,Few,5.2,Low,Low
Suburbs,2250.0,4.0,1.0,No,15.0,22.0,No,Many,13.9,Medium,High
Suburbs,,4.0,1.0,No,17.0,26.0,No,Few,18.4,Low,High
Suburbs,1786.0,3.0,1.0,Yes,,,Yes,Few,20.9,Low,Low
Countryside,756.0,3.0,2.0,Yes,10.0,5.0,Yes,Few,11.8,High,High
Countryside,1282.0,3.0,1.0,Yes,16.0,37.0,Yes,,,High,High
City Center,2430.0,1.0,,No,15.0,1.0,,,,High,High
Suburbs,1422.0,4.0,3.0,Yes,,,Yes,Few,13.5,High,Medium
City Center,448.0,,3.0,No,3.0,19.0,No,Many,2.5,High,Medium
,1652.0,3.0,1.0,Yes,6.0,24.0,No,Many,14.2,,High
City Center,1479.0,2.0,3.0,No,,14.0,Yes,Many,24.7,Medium,Low
City Center,,2.0,3.0,Yes,5.0,,Yes,Few,18.6,Low,High
Suburbs,1182.0,3.0,3.0,Yes,16.0,28.0,Yes,,25.0,High,High
City Center,699.0,4.0,1.0,No,,7.0,No,Few,15.1,,Medium
Suburbs,908.0,3.0,1.0,Yes,4.0,36.0,No,Many,,Low,Medium
Suburbs,2095.0,2.0,3.0,No,4.0,48.0,No,Few,0.9,High,Medium
Countryside,1938.0,3.0,2.0,,19.0,32.0,Yes,Many,9.4,High,High
,1875.0,2.0,3.0,Yes,15.0,21.0,Yes,Few,21.1,Medium,High
Countryside,2448.0,2.0,1.0,No,18.0,49.0,Yes,Few,23.8,Low,Low
Suburbs,,3.0,1.0,No,8.0,46.0,Yes,,9.2,High,High
Suburbs,1703.0,1.0,1.0,Yes,4.0,4.0,No,Many,15.1,Low,High
Suburbs,1119.0,3.0,3.0,,7.0,38.0,,Few,,Medium,Medium
Countryside,1119.0,1.0,2.0,Yes,8.0,17.0,Yes,Many,12.6,High,Medium
Countryside,719.0,2.0,1.0,Yes,4.0,37.0,Yes,Few,7.3,Low,Medium
City Center,423.0,2.0,1.0,Yes,9.0,36.0,No,Few,4.5,Medium,Medium
Countryside,721.0,1.0,3.0,Yes,1.0,29.0,No,Many,6.3,,Medium
,1808.0,,2.0,No,8.0,30.0,Yes,,2.1,High,Low
